National Institute of Technology Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,31978,49496
National Institute of Technology Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,37066,40417
National Institute of Technology Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,33187,44281
National Institute of Technology Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,9028,11017
National Institute of Technology Jalandhar,"Data Science and Engineering (4 Years, Bachelor of Technology)",OS,13020,13373
National Institute of Technology Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,19308,22308
National Institute of Technology Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,13926,15255
National Institute of Technology Jalandhar,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,15807,17582
National Institute of Technology Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,36660,48352
National Institute of Technology Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,11431,13180
National Institute of Technology Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,24861,33381
National Institute of Technology Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,26521,33152
National Institute of Technology Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,49617,53354
