National Institute of Technology Shibpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OS,14870,23280
National Institute of Technology Shibpur,"Architecture (5 Years, Bachelor of Architecture)",OS,647,838
National Institute of Technology Shibpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,41996,52036
National Institute of Technology Shibpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,8043,13711
National Institute of Technology Shibpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,22661,28582
National Institute of Technology Shibpur,"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",OS,17614,21207
National Institute of Technology Shibpur,"Information Technology (4 Years, Bachelor of Technology)",OS,13788,16809
National Institute of Technology Shibpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,26554,37579
National Institute of Technology Shibpur,"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",OS,44874,51002
National Institute of Technology Shibpur,"Mining Engineering (4 Years, Bachelor of Technology)",OS,46278,54788
