National Institute of Technology Surat,"Artificial Intelligence (4 Years, Bachelor of Technology)",OS,7120,10330
National Institute of Technology Surat,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,24787,38015
National Institute of Technology Surat,"Chemistry (5 Years, Integrated Master of Science)",OS,48706,58313
National Institute of Technology Surat,"Civil Engineering (4 Years, Bachelor of Technology)",OS,34479,43794
National Institute of Technology Surat,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,5052,7741
National Institute of Technology Surat,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,16112,20904
National Institute of Technology Surat,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,10654,15093
National Institute of Technology Surat,"Mathematics (5 Years, Integrated Master of Science)",OS,36483,51576
National Institute of Technology Surat,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,19670,30985
National Institute of Technology Surat,"Physics (5 Years, Integrated Master of Science)",OS,33405,52721
