National Institute of Technology Tiruchirappalli,"Architecture (5 Years, Bachelor of Architecture)",HS,100,367
National Institute of Technology Tiruchirappalli,"Architecture (5 Years, Bachelor of Architecture)",OS,149,260
National Institute of Technology Tiruchirappalli,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,12050,20670
National Institute of Technology Tiruchirappalli,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,11165,15816
National Institute of Technology Tiruchirappalli,"Civil Engineering (4 Years, Bachelor of Technology)",HS,20492,33703
National Institute of Technology Tiruchirappalli,"Civil Engineering (4 Years, Bachelor of Technology)",OS,12259,20873
National Institute of Technology Tiruchirappalli,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,936,5164
National Institute of Technology Tiruchirappalli,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,176,1509
National Institute of Technology Tiruchirappalli,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,6915,9902
National Institute of Technology Tiruchirappalli,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,4668,6726
National Institute of Technology Tiruchirappalli,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,4341,7153
National Institute of Technology Tiruchirappalli,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,2049,4642
National Institute of Technology Tiruchirappalli,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,7605,15486
National Institute of Technology Tiruchirappalli,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,11099,14240
National Institute of Technology Tiruchirappalli,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,7166,16238
National Institute of Technology Tiruchirappalli,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,4026,10751
National Institute of Technology Tiruchirappalli,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,19080,32122
National Institute of Technology Tiruchirappalli,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,14909,24678
National Institute of Technology Tiruchirappalli,"Production Engineering (4 Years, Bachelor of Technology)",HS,16710,26853
National Institute of Technology Tiruchirappalli,"Production Engineering (4 Years, Bachelor of Technology)",OS,16671,25958
